Video_ID,Title,Channel_Name,Views,Likes,Comments,Age_In_Days,Engagement_Rate_%,Views_Per_Day,Video_URL,Description_Length
L3mU-N1w4Q8,🤫 डालते ही Short Viral 🔥| How To Viral Short Video On Youtube | Shorts Video Viral tips and tricks,TECH ZOOMBO,350019,9000,2138,90,3.1821,3889.1,https://www.youtube.com/watch?v=L3mU-N1w4Q8,2312
sh1QSHFmFZs,Shorts Funny Video 😍 #funny #mistihappylifestyle #comedy #shorts #shortsviral #trending,Misti Happy Lifestyle Games & Shorts,2850459,0,0,475,0.0,6000.97,https://www.youtube.com/watch?v=sh1QSHFmFZs,87
9-i69UtCfmQ,Süper ❤️ Perfect Family Wonderful 🧿💕🎥 #shorts #tiktok,Koray Zeynep,13195478,37000,433,753,0.2837,17523.88,https://www.youtube.com/watch?v=9-i69UtCfmQ,15
9HZy3siJHXI,🤫501% New Trick Short डालते ही Viral 📈| How to viral short video | Short video viral tips and tricks,Yt Aman Tech,110387,4400,4556,40,8.1133,2759.68,https://www.youtube.com/watch?v=9HZy3siJHXI,4864
_u4POCdoBlE,Gulab upada ke jabardast colour 💥8816826455#trending#viral #shorts,Poonia  Boutique,303,53,4,1,18.8119,303.0,https://www.youtube.com/watch?v=_u4POCdoBlE,0
YFaQ_5iW-8c,1 MIN AGO: Royal Family Just Made A Huge Announcement,VIP Files,2172147,10000,1955,256,0.5504,8484.95,https://www.youtube.com/watch?v=YFaQ_5iW-8c,619
BaasztkVKlE,I Uploaded 50 YouTube Shorts in 24 Hours (The Weirdest Things Happened!),Dheeraj Mehra,253281,4000,528,146,1.7877,1734.8,https://www.youtube.com/watch?v=BaasztkVKlE,918
K2mmMWmLWs4,CRAZY NURSE IN MY SCHOOL😂👀❤️ #shorts,BETER BÖCÜK,10079,157,10,162,1.6569,62.22,https://www.youtube.com/watch?v=K2mmMWmLWs4,0
iPqnzsbBuJ4,Como fazer Shorts que SEMPRE Viralizam (com provas),RunnyIA,87450,7100,574,70,8.7753,1249.29,https://www.youtube.com/watch?v=iPqnzsbBuJ4,499
W8hQVkBKZCg,Süper ❤️🤕 every human being has the right to live 🧿✅🎥 #shorts TikTok,Koray Zeynep,7726985,21000,206,832,0.2744,9287.24,https://www.youtube.com/watch?v=W8hQVkBKZCg,15
6EGzJmZDvyA,Ballerina cappuccino is Calling me! SLIDE MONSTER Took her! SHORT MOVIE,Fear Vivi,1457300,2000,55,62,0.141,23504.84,https://www.youtube.com/watch?v=6EGzJmZDvyA,150
CzumtoNsZsQ,Best Funniest Videos COMPILATION By Diya Ishwarya 😱🤣💯/shorts/TikTok,Diya Ishwarya,1436163,3900,0,375,0.2716,3829.77,https://www.youtube.com/watch?v=CzumtoNsZsQ,55
hfuSGCyVvLI,Best Funniest Videos COMPILATION By Diya Ishwarya 😱 🤣 💯/shorts/TikTok/DiyaIshwarya,Diya Ishwarya,2522570,6000,0,424,0.2379,5949.46,https://www.youtube.com/watch?v=hfuSGCyVvLI,56
jjary-9tnlo,Ranking funny try not cringe moments 😂 #funny #funnyvideos #shorts,Trending now,11331776,60000,1022,224,0.5385,50588.29,https://www.youtube.com/shorts/jjary-9tnlo,0
j_y28wsorR4,Shanu or aali nay ki shopping 🛍️ #trending #funny #youtubeshorts #shorts #vlog,Abdullah Tariq Khan,4373354,9800,138,351,0.2272,12459.7,https://www.youtube.com/watch?v=j_y28wsorR4,0
cWs4WA--eKU,The Gunfighter | A Short Film by Eric Kissack (narrated by Nick Offerman),MAGNETFILM,5911400,195000,4726,3428,3.3787,1724.45,https://www.youtube.com/watch?v=cWs4WA--eKU,1356
iLTxTDelLwE,Jun Jun funny video😂😂😂best TikTok compilation 2024#shorts#funny#cocomelon,Jun Jun House,5907217,16000,518,458,0.2796,12897.85,https://www.youtube.com/watch?v=iLTxTDelLwE,0
6pQ1l7VEBVs,Bhul Janu Mur Asil || Assamese Short Film || Nitumani Sarma || Bikash Bailung || Kagoj,KAGOJ,47538,2700,238,3,6.1803,15846.0,https://www.youtube.com/watch?v=6pQ1l7VEBVs,631
X40_0uqYbio,It's so scrary #trending #viral #funny #shorts,H&T Official,75923671,2900000,5493,681,3.8269,111488.5,https://www.youtube.com/shorts/X40_0uqYbio,0
b_mwMikG_IQ,Nothing ordinary about this! #trending #dance #shorts #shortsfeed,The Savannah Bananas,38274019,539000,18327,334,1.4561,114592.87,https://www.youtube.com/shorts/b_mwMikG_IQ,0
79IO2s0blQo,"😱 BEST EMOTIONAL VIDEOS, MATIFAMILY @babyluke_ #matifamily #funny #babymatifa #shorts #emotional",MatiFamily Officiel,567142,2700,122,196,0.4976,2893.58,https://www.youtube.com/watch?v=79IO2s0blQo,665
E8kjMc5iPG8,WTF Is Gen Alpha Posting On YouTube Shorts 💀,7-ElevenZ,628316,14000,2614,114,2.6442,5511.54,https://www.youtube.com/watch?v=E8kjMc5iPG8,705
mBrn8ana84w,How to Make VIRAL Commentary Shorts with AI (Full Tutorial),Alex Christian,93725,3900,207,134,4.382,699.44,https://www.youtube.com/watch?v=mBrn8ana84w,2032
d844BGwaLY8,🤫 7 Sec. में Short VIRAL🔥 | How To Viral Short Video On Youtube | Shorts Viral Kaise Kare,Spreading Gyan,956619,27000,6672,143,3.5199,6689.64,https://www.youtube.com/watch?v=d844BGwaLY8,2271
v4cQORz4sK8,SEC Shorts - SEC TV games go dark,SEC Shorts,463960,17000,1338,135,3.9525,3436.74,https://www.youtube.com/watch?v=v4cQORz4sK8,245
Pg8HFh12PAc,I Tested Simpsons Clickbait Fortnite Shorts!,Ali-A,877824,6900,234,133,0.8127,6600.18,https://www.youtube.com/watch?v=Pg8HFh12PAc,1441
_rOVZMpAYxw,SEC Shorts - SEC teams board the Playoff Train,SEC Shorts,540723,21000,1747,100,4.2068,5407.23,https://www.youtube.com/watch?v=_rOVZMpAYxw,150
B0uDoEzqxlE,Dumb Life Hacks I Learned on YouTube Shorts!,MoreAliA,310411,3100,213,25,1.0673,12416.44,https://www.youtube.com/watch?v=B0uDoEzqxlE,1256
zK5WNWlw2Lw,"How to Escape 0, 10k & 30k View Jail on YouTube Shorts (Full Guide)",Ryvahn,91601,5500,1747,110,7.9115,832.74,https://www.youtube.com/watch?v=zK5WNWlw2Lw,1029
65S8oTrznH8,Bro Got Embarrassed Twice by Messi #shorts 😭🔥 #shorts #edit #football #footballedits #soccer #messi,FutbolEssence,14100613,182000,1027,171,1.298,82459.73,https://www.youtube.com/shorts/65S8oTrznH8,700
5iIIYKztamo,I Went Viral With YouTube Shorts In 30 Days,janisjanis01,434653,12000,1139,206,3.0229,2109.97,https://www.youtube.com/watch?v=5iIIYKztamo,434
zf7T9FVR2NA,Bread & Barbecue Sauce Was My Poverty Meal — What Was Yours? #Shorts,Tom Powell Jr,3809,535,109,1,16.9073,3809.0,https://www.youtube.com/watch?v=zf7T9FVR2NA,1451
tLZjL-dMH_g,Don't do this #short #shorts #shortvideo #memes,Skyworld Animation Studio,103599932,961000,1111,608,0.9287,170394.62,https://www.youtube.com/shorts/tLZjL-dMH_g,0
ib1XVpSL0MY,తొలి ప్రేమ ❤️ | The painful Love Story 💔| Part-206 #emotional #love #truelove #family #shorts,Wondering Minds,213392,10000,236,1,4.7968,213392.0,https://www.youtube.com/watch?v=ib1XVpSL0MY,1140
6FljrpJG3pg,Bestie Dance Again ❤️#shorts #shortsfeed #nastyashatarot,ROCK SQUAD,53999211,466000,15901,547,0.8924,98718.85,https://www.youtube.com/shorts/6FljrpJG3pg,657
RTfOF2IONRc,WHY DOES HE LOOK LIKE THAT #Shorts,mmmjoemele,44223068,1100000,23184,988,2.5398,44760.19,https://www.youtube.com/shorts/RTfOF2IONRc,0
g8l0z0DCXUs,"SEC Shorts - After that Rose Bowl, Daniel Moore gotta paint something",SEC Shorts,290663,11000,735,72,4.0373,4036.99,https://www.youtube.com/watch?v=g8l0z0DCXUs,302
KmgGlg5ys54,Normal day in the jungle! 🤣 (4k memes)  #shorts,Rico Animations,24985757,1300000,5911,838,5.2266,29815.94,https://www.youtube.com/shorts/KmgGlg5ys54,0
0UjB4kmK88Y,World's *FUNNIEST* Gorilla Tag Shorts!,Be Prepared,4843209,36000,1329,378,0.7707,12812.72,https://www.youtube.com/watch?v=0UjB4kmK88Y,423
X_Sb47fxIe8,Ranking The Funniest Celebrities Memes Ever 🤣 (Part 2) #shorts #funny #ranking #tiktok,RankReactor,22611824,503000,5838,222,2.2503,101855.06,https://www.youtube.com/shorts/X_Sb47fxIe8,0
vmkB8ItYRzI,How I Upload Shorts Like a PRO in 2026 😱 | 3 Viral Secrets Nobody Tells! 🚀,Grow in tube,692203,33000,3771,57,5.3122,12143.91,https://www.youtube.com/watch?v=vmkB8ItYRzI,2833
jAa8RVbklAk,NEW❤️👀 BETER BÖCÜK TOPRAK IN NEW SCHOOL #shorts,BETER BÖCÜK,54567,296,8,170,0.5571,320.98,https://www.youtube.com/watch?v=jAa8RVbklAk,0
twEpdgUi1eA,501% Short डालते ही Direct Viral 🔥 How to Viral Shorts on Youtube ? | Shorts viral Kaise Kare,Mr Tech Saurabh,123651,5400,1897,62,5.9013,1994.37,https://www.youtube.com/watch?v=twEpdgUi1eA,4216
J4stYmJ4VDc,BEST funniest🤣 videos compilation by🥰 krishnaavyu ♥️,𝐊𝐫𝐢𝐬𝐡𝐧𝐚𝐀𝐯𝐲𝐮 𝐄𝐧𝐭𝐞𝐫𝐭𝐚𝐢𝐧𝐦𝐞𝐧𝐭,5807617,10000,141,217,0.1746,26763.21,https://www.youtube.com/watch?v=J4stYmJ4VDc,39
4MeElT9ZrAs,Baxter’s Funniest Moments of 2025 🤣🐶 (Best Shorts Compilation),Baxter and Friends,3419857,14000,450,78,0.4225,43844.32,https://www.youtube.com/watch?v=4MeElT9ZrAs,432
KGmiKGfwud0,LiDiRo reagiert auf Shorts #520 #lidiro #shorts,LiDiRo Reagiert,125527,1400,56,50,1.1599,2510.54,https://www.youtube.com/watch?v=KGmiKGfwud0,710
LDLvoYeRigc,Shanu vs bhoot 👻 #funny #comedy #youtubeshorts #trending #shorts #bhoot,Abdullah Tariq Khan,782329,977,38,126,0.1297,6208.96,https://www.youtube.com/watch?v=LDLvoYeRigc,0
